Price,Close,High,Low,Open,Volume
Ticker,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X
Date,,,,,
2025-10-27,153.06100463867188,153.2429962158203,152.57699584960938,153.06100463867188,0
2025-10-28,152.69200134277344,152.72900390625,151.75599670410156,152.69200134277344,0
2025-10-29,151.7310028076172,152.51400756835938,151.5489959716797,151.7310028076172,0
2025-10-30,152.7220001220703,154.4409942626953,152.18499755859375,152.7220001220703,0
2025-10-31,153.89999389648438,154.37600708007812,153.656005859375,153.89999389648438,0
2025-11-03,154.19500732421875,154.28399658203125,153.94700622558594,154.19500732421875,0
2025-11-04,154.20399475097656,154.46200561523438,153.32200622558594,154.20399475097656,0
2025-11-05,153.5570068359375,154.3520050048828,152.9810028076172,153.5570068359375,0
2025-11-06,154.072998046875,154.1320037841797,152.9770050048828,154.072998046875,0
2025-11-07,152.947998046875,153.51699829101562,152.85299682617188,152.947998046875,0
2025-11-10,153.81700134277344,154.23500061035156,153.5449981689453,153.5449981689453,0
2025-11-11,154.14599609375,154.46499633789062,153.6699981689453,154.16400146484375,0
2025-11-12,154.0749969482422,155.0189971923828,154.05299377441406,154.05299377441406,0
2025-11-13,154.71299743652344,154.98500061035156,154.1479949951172,154.7030029296875,0
2025-11-14,154.63299560546875,154.7469940185547,153.64999389648438,154.62899780273438,0
2025-11-17,154.5850067138672,155.2949981689453,154.41400146484375,154.6179962158203,0
2025-11-18,155.2729949951172,155.4949951171875,154.8350067138672,155.25,0
2025-11-19,155.54800415039062,156.69900512695312,155.22000122070312,155.5240020751953,0
2025-11-20,156.99200439453125,157.88699340820312,156.87899780273438,156.99200439453125,0
2025-11-21,157.36900329589844,157.52699279785156,156.22500610351562,157.38299560546875,0
2025-11-24,156.68800354003906,157.1699981689453,156.49899291992188,156.66200256347656,0
2025-11-25,156.93899536132812,156.97000122070312,155.91400146484375,156.8780059814453,0
2025-11-26,156.22999572753906,156.7220001220703,155.67100524902344,156.16900634765625,0
2025-11-27,156.23899841308594,156.4010009765625,155.7220001220703,156.21200561523438,0
2025-11-28,156.28399658203125,156.57400512695312,155.97799682617188,156.28700256347656,0
2025-12-01,155.92799377441406,155.91099548339844,154.68600463867188,155.88699340820312,0
2025-12-02,155.5570068359375,156.17100524902344,155.45899963378906,155.5469970703125,0
2025-12-03,155.8070068359375,155.7949981689453,155.00999450683594,155.74899291992188,0
2025-12-04,155.10699462890625,155.52999877929688,154.5189971923828,155.0970001220703,0
2025-12-05,155.14199829101562,155.48199462890625,154.3520050048828,155.1020050048828,0
2025-12-08,155.33999633789062,155.97500610351562,154.9029998779297,155.30299377441406,0
2025-12-09,155.843994140625,156.9149932861328,155.75,155.83900451660156,0
2025-12-10,156.83799743652344,156.91799926757812,156.322998046875,156.79800415039062,0
2025-12-11,155.7899932861328,156.1439971923828,154.94500732421875,155.74400329589844,0
2025-12-12,155.56700134277344,156.1219940185547,155.46099853515625,155.4770050048828,0
2025-12-15,155.88800048828125,155.96800231933594,154.85000610351562,155.85899353027344,0
2025-12-16,155.01499938964844,155.11099243164062,154.47000122070312,155.0240020751953,0
2025-12-17,154.7779998779297,155.6269989013672,154.51400756835938,154.76800537109375,0
2025-12-18,155.4949951171875,155.96499633789062,155.28900146484375,155.47999572753906,0
2025-12-19,155.58599853515625,157.48699951171875,155.5679931640625,155.5679931640625,0
2025-12-22,157.67599487304688,157.6490020751953,156.86500549316406,157.60899353027344,0
2025-12-23,156.8769989013672,156.91099548339844,155.66400146484375,156.91099548339844,0
2025-12-24,156.17599487304688,156.2519989013672,155.57200622558594,156.1649932861328,0
